ID,標題,作者,年份,期刊,類別,評分,標籤,一行摘要,DOI,URL,來源,加入時間
838,Breath biopsy for early detection and precision medicine in cancer.,"van der Schee Marc, Pinheiro Hazel, Gaude Edoardo",2018,Ecancermedicalscience,disease_cancer,5.0,"[""breath analysis"", ""cancer"", ""VOC biomarker"", ""early detection"", ""precision medicine""]",呼氣分析用於癌症早期檢測與精準醫療的文獻。,10.3332/ecancer.2018.ed84,https://pubmed.ncbi.nlm.nih.gov/30093919/,pubmed,2026-04-04 23:02:31
840,A profile of volatile organic compounds in exhaled air as a potential non-invasive biomarker for liver cirrhosis,"Kirsten E. Pijls, Agnieszka Smolinska, Daisy Jonkers, Jan W. Dallinga, Ad Masclee et al.",2016,Scientific Reports,disease_chronic,5.0,"[""breath analysis"", ""liver cirrhosis"", ""VOC biomarker"", ""GC-MS"", ""compensated cirrhosis""]",研究呼氣VOC作為肝硬化的非侵入式診斷標記。,10.1038/srep19903,https://doi.org/10.1038/srep19903,openalex,2026-04-04 23:02:31
835,Fast and noninvasive electronic nose for sniffing out COVID-19 based on exhaled breath-print recognition,"Dian Kesumapramudya Nurputra, Ahmad Kusumaatmaja, Mohamad S. Hakim, Shidiq Nur Hidayat, Trisna Julian et al.",2022,npj Digital Medicine,voc_breath,5.0,"[""breath analysis"", ""COVID-19"", ""electronic nose"", ""machine learning"", ""VOC biomarker""]",利用電子鼻和機器學習診斷COVID-19，具有高度相關性。,10.1038/s41746-022-00661-2,https://doi.org/10.1038/s41746-022-00661-2,openalex,2026-04-04 18:08:35
836,Exhaled volatile organic compounds predict exacerbations of childhood asthma in a 1-year prospective study,"C. M. H. H. T. Robroeks, Joep J. van Berkel, Quirijn Jöbsis, Frederik‐Jan van Schooten, Jan W. Dallinga et al.",2013,European Respiratory Journal,voc_breath,5.0,"[""breath analysis"", ""asthma"", ""VOC biomarker"", ""GC-MS"", ""exacerbation""]",呼氣VOC能預測兒童哮喘發作，具有高準確度。,10.1183/09031936.00010712,https://doi.org/10.1183/09031936.00010712,openalex,2026-04-04 18:08:35
829,Convolutional neural networks for automated targeted analysis of raw gas chromatography-mass spectrometry data,"Angelika Skarysz, Yaser Alkhalifah, Kareen Darnley, Michael Eddleston, Yang Hu et al.",2018,,ai_model,5.0,"[""breath analysis"", ""GC-MS"", ""CNN"", ""machine learning"", ""VOC biomarker""]",利用CNN加速GC-MS呼氣VOC數據分析，提升診斷效率。,10.1109/ijcnn.2018.8489539,https://doi.org/10.1109/ijcnn.2018.8489539,openalex,2026-04-04 18:08:34
828,Breath Analysis for Early Detection of Malignant Pleural Mesothelioma: Volatile Organic Compounds (VOCs) Determination and Possible Biochemical Pathways,"Alessia Di Gilio, Annamaria Catino, Angela Lombardi, Jolanda Palmisani, Laura Facchini et al.",2020,Cancers,disease_cancer,5.0,"[""breath analysis"", ""malignant pleural mesothelioma"", ""VOC biomarker"", ""GC-MS"", ""machine learning""]",利用呼氣VOCs和機器學習，早期檢測間皮瘤的臨床研究。,10.3390/cancers12051262,https://doi.org/10.3390/cancers12051262,openalex,2026-04-04 18:08:32
823,Target Analysis of Volatile Organic Compounds in Exhaled Breath for Lung Cancer Discrimination from Other Pulmonary Diseases and Healthy Persons,"Michalis Koureas, Paraskevi Kirgou, Grigoris D. Amoutzias, Christos Hadjichristodoulou, Konstantinos I. Gourgoulianis et al.",2020,Metabolites,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""GC-MS"", ""VOC biomarker"", ""machine learning""]",研究呼氣VOC用於肺癌診斷，並應用機器學習模型。,10.3390/metabo10080317,https://doi.org/10.3390/metabo10080317,openalex,2026-04-04 18:08:30
826,"Breath Metabolomics Provides an Accurate and Noninvasive Approach for Screening Cirrhosis, Primary, and Secondary Liver Tumors","Galen Miller‐Atkins, Lou‐Anne Acevedo‐Moreno, David Grove, Raed A. Dweik, Adriano R. Tonelli et al.",2020,Hepatology Communications,disease_cancer,5.0,"[""breath analysis"", ""liver cancer"", ""HCC"", ""VOC biomarker"", ""machine learning""]",利用呼氣VOC診斷肝癌及肝臟轉移，並開發機器學習模型。,10.1002/hep4.1499,https://doi.org/10.1002/hep4.1499,openalex,2026-04-04 18:08:30
827,Short-Term Intra-Subject Variation in Exhaled Volatile Organic Compounds (VOCs) in COPD Patients and Healthy Controls and Its Effect on Disease Classification,"Chris Phillips, Neil Mac Parthaláin, Yasir Syed, Davide Deganello, Tim Claypole et al.",2014,Metabolites,disease_chronic,5.0,"[""breath analysis"", ""COPD"", ""GC-MS"", ""VOC biomarker"", ""machine learning""]",研究COPD患者呼氣VOC變異性及機器學習分類應用。,10.3390/metabo4020300,https://doi.org/10.3390/metabo4020300,openalex,2026-04-04 18:08:30
817,Noninvasive detection of lung cancer using exhaled breath,"Xiao‐An Fu, Mingxiao Li, Ralph J. Knipp, Michael H. Nantz, Michael Bousamra",2013,Cancer Medicine,voc_breath,5.0,"[""breath analysis"", ""lung cancer"", ""VOC biomarker"", ""exhaled breath"", ""FT-ICR MS""]",利用呼氣羰基VOCs診斷肺癌，具有明確的臨床數據。,10.1002/cam4.162,https://doi.org/10.1002/cam4.162,openalex,2026-04-04 18:08:29
